,Ship Mode,Segment,City,Country,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
0,First Class,Consumer,Brisbane,Australia,Technology,Phones,entre 9 y 10,0.1,Medium,October,544.7548421052632
1,First Class,Home Office,Berlin,Germany,Technology,Phones,entre 5 y 6,0.1,Medium,January,525.9109090909092
2,Second Class,Corporate,Sydney,Australia,Technology,Phones,entre 5 y 6,0.1,Critical,June,520.4863636363636
3,Second Class,Corporate,Paris,France,Office Supplies,Appliances,entre 3 y 4,0.1,Critical,July,534.168
4,First Class,Consumer,Soyapango,El Salvador,Furniture,Tables,entre 7 y 8,0.2,Critical,September,280.8661333333333
5,Second Class,Corporate,Santo Domingo,Dominican Republic,Technology,Phones,entre 5 y 6,0.2,Critical,December,308.48
6,Second Class,Corporate,Gold Coast,Australia,Office Supplies,Appliances,entre 5 y 6,0.1,Critical,November,459.4418181818182
7,First Class,Consumer,Brisbane,Australia,Technology,Phones,entre 5 y 6,0.1,Medium,January,522.7445454545455
8,First Class,Consumer,Berlin,Germany,Office Supplies,Appliances,entre 7 y 8,0.2,Critical,September,402.48319999999995
9,Second Class,Consumer,London,United Kingdom,Technology,Phones,entre 5 y 6,0.1,High,September,625.7618181818182
10,Second Class,Consumer,Melbourne,Australia,Technology,Phones,entre 5 y 6,0.1,Critical,May,520.6090909090909
11,Same Day,Home Office,Casablanca,Morocco,Office Supplies,Appliances,entre 3 y 4,0.0,Medium,November,647.5542857142857
12,Same Day,Corporate,Sydney,Australia,Technology,Copiers,entre 9 y 10,0.1,High,June,322.9853684210526
13,Same Day,Home Office,Paris,France,Office Supplies,Appliances,entre 5 y 6,0.1,Critical,December,442.21090909090907
14,First Class,Corporate,Manila,Philippines,Furniture,Chairs,entre 7 y 8,0.25,High,January,328.776
15,Standard Class,Consumer,Kinshasa,Democratic Republic of the Congo,Technology,Phones,entre 5 y 6,0.0,Low,July,701.1163636363636
16,Standard Class,Corporate,Perth,Australia,Technology,Phones,entre 5 y 6,0.1,Low,November,640.813090909091
17,Same Day,Consumer,Gold Coast,Australia,Office Supplies,Appliances,entre 7 y 8,0.1,High,December,498.5568
18,First Class,Consumer,Sydney,Australia,Technology,Copiers,entre 5 y 6,0.1,Critical,April,291.20727272727277
19,First Class,Consumer,Adelaide,Australia,Technology,Copiers,entre 5 y 6,0.1,High,October,353.30727272727273
20,Second Class,Corporate,Adelaide,Australia,Technology,Copiers,entre 5 y 6,0.1,Critical,December,308.34
21,Same Day,Home Office,Bangkok,Thailand,Technology,Phones,entre 7 y 8,0.17,High,August,498.86984
22,First Class,Home Office,Perth,Australia,Technology,Phones,entre 3 y 4,0.1,High,December,492.98914285714284
23,Second Class,Home Office,Brisbane,Australia,Furniture,Bookcases,entre 7 y 8,0.1,High,August,368.046
24,Standard Class,Consumer,Perth,Australia,Technology,Phones,entre 5 y 6,0.1,High,March,525.8372727272728
25,Standard Class,Corporate,Mixco,Guatemala,Furniture,Tables,entre 13 y 14,0.2,High,April,230.89540740740742
26,First Class,Corporate,Madrid,Spain,Office Supplies,Appliances,entre 7 y 8,0.0,Medium,January,506.884
27,Standard Class,Consumer,Adelaide,Australia,Office Supplies,Appliances,entre 7 y 8,0.1,High,March,475.9524
28,Standard Class,Home Office,Jakarta,Indonesia,Furniture,Chairs,entre 9 y 10,0.27,High,June,329.09475789473686
29,Standard Class,Consumer,London,United Kingdom,Technology,Phones,entre 9 y 10,0.1,Medium,August,555.4724210526316
30,Standard Class,Consumer,Bangkok,Thailand,Technology,Phones,entre 5 y 6,0.17,High,March,480.9774545454546
31,First Class,Corporate,London,United Kingdom,Furniture,Bookcases,entre 7 y 8,0.1,High,April,305.5752
32,Same Day,Consumer,Melbourne,Australia,Furniture,Tables,entre 5 y 6,0.3,Critical,December,325.2403636363636
33,Same Day,Consumer,Santo Domingo,Dominican Republic,Technology,Phones,entre 5 y 6,0.2,High,August,371.78181818181815
34,First Class,Corporate,Adelaide,Australia,Furniture,Bookcases,entre 3 y 4,0.1,Critical,September,377.3211428571429
35,Second Class,Consumer,Adelaide,Australia,Furniture,Chairs,entre 3 y 4,0.1,Critical,December,487.14171428571433
36,First Class,Consumer,Cairo,Egypt,Technology,Phones,entre 1 y 2,0.0,Critical,March,849.8000000000001
37,Second Class,Consumer,Jakarta,Indonesia,Furniture,Bookcases,entre 7 y 8,0.07,High,May,338.6502
38,Standard Class,Corporate,Brisbane,Australia,Technology,Copiers,entre 13 y 14,0.1,Medium,September,329.498
39,First Class,Consumer,Buenos Aires,Argentina,Technology,Phones,entre 9 y 10,0.4,High,December,242.1701052631579
40,Standard Class,Consumer,Managua,Nicaragua,Office Supplies,Appliances,entre 5 y 6,0.0,High,June,329.1454545454545
41,First Class,Consumer,Managua,Nicaragua,Technology,Phones,entre 5 y 6,0.0,Critical,September,385.54545454545456
42,Standard Class,Consumer,Berlin,Germany,Technology,Phones,entre 5 y 6,0.1,High,July,535.2872727272727
43,First Class,Consumer,Surabaya,Indonesia,Office Supplies,Appliances,entre 7 y 8,0.17,High,November,441.23463999999996
44,First Class,Consumer,Vienna,Austria,Furniture,Bookcases,entre 5 y 6,0.0,High,June,373.82727272727277
45,Standard Class,Corporate,Mexico City,Mexico,Technology,Copiers,entre 9 y 10,0.002,High,September,249.01675789473686
46,Same Day,Home Office,Ho Chi Minh City,Vietnam,Furniture,Chairs,entre 5 y 6,0.27,High,October,312.69218181818184
47,First Class,Consumer,Jakarta,Indonesia,Office Supplies,Appliances,entre 3 y 4,0.17,Critical,March,406.1545714285714
48,Second Class,Corporate,Gold Coast,Australia,Furniture,Chairs,entre 5 y 6,0.1,Critical,November,462.6130909090909
49,Standard Class,Corporate,Mexico City,Mexico,Technology,Phones,entre 7 y 8,0.0,High,December,463.21066666666667
50,Second Class,Corporate,Bangkok,Thailand,Technology,Phones,entre 5 y 6,0.17,Medium,May,578.5039636363637
51,First Class,Consumer,León,Nicaragua,Technology,Phones,entre 3 y 4,0.0,Critical,October,365.14285714285717
52,Same Day,Home Office,Gold Coast,Australia,Furniture,Bookcases,entre 5 y 6,0.4,Critical,August,287.6727272727273
53,Second Class,Corporate,Canberra,Australia,Furniture,Tables,entre 5 y 6,0.0,Critical,August,274.90909090909093
54,Second Class,Corporate,Mixco,Guatemala,Technology,Copiers,entre 5 y 6,0.002,Critical,April,192.4144
55,First Class,Consumer,Managua,Nicaragua,Technology,Phones,entre 1 y 2,0.0,Critical,September,565.5466666666667
56,Second Class,Home Office,Manila,Philippines,Furniture,Chairs,entre 5 y 6,0.25,Critical,November,313.77272727272725
57,Second Class,Consumer,Singapore,Singapore,Technology,Copiers,entre 9 y 10,0.0,Critical,September,134.9715789473684
58,Standard Class,Consumer,Sydney,Australia,Furniture,Bookcases,entre 13 y14,0.1,Medium,June,406.42
59,First Class,Consumer,Perth,Australia,Furniture,Tables,entre 5 y 6,0.3,High,February,328.9554545454546
60,Second Class,Home Office,Sydney,Australia,Technology,Copiers,entre 13 y14,0.1,Medium,March,244.412
61,First Class,Corporate,Soyapango,El Salvador,Furniture,Chairs,entre 3 y 4,0.0,High,December,362.74285714285713
