,Ship Mode,Segment,City,Category,Sub-Category,Quantity,Discount,Order Priority,month,Sales_unitario
0,Same Day,Consumer,New York City,Technology,Accessories,entre 7 y 8,0.0,Critical,July,307.9533333333333
1,First Class,Consumer,Chicago,Technology,Phones,entre 5 y 6,0.2,High,October,497.4458181818182
2,First Class,Home Office,Los Angeles,Technology,Phones,entre 7 y 8,0.2,High,March,554.5216
3,Same Day,Consumer,New York City,Technology,Machines,entre 3 y 4,0.0,High,September,799.9885714285714
4,First Class,Consumer,New York City,Office Supplies,Binders,entre 3 y 4,0.2,High,June,871.5360000000001
5,First Class,Corporate,Seattle,Technology,Copiers,entre 7 y 8,0.0,High,March,419.99066666666664
6,Same Day,Corporate,New York City,Technology,Machines,entre 3 y 4,0.0,Medium,November,1326.8
7,Second Class,Consumer,Philadelphia,Furniture,Chairs,entre 9 y 10,0.3,Medium,August,464.8604210526316
8,Standard Class,Home Office,Seattle,Furniture,Tables,entre 7 y 8,0.0,Low,November,271.5813333333333
9,Standard Class,Consumer,Los Angeles,Technology,Machines,entre 7 y 8,0.2,High,May,396.4426666666667
10,First Class,Corporate,Los Angeles,Office Supplies,Storage,entre 7 y 8,0.0,Critical,December,168.17733333333334
11,Standard Class,Consumer,New York City,Technology,Machines,entre 3 y 4,0.0,Medium,December,1999.9885714285715
12,Standard Class,Consumer,Philadelphia,Technology,Copiers,entre 3 y 4,0.4,Medium,May,2399.993142857143
13,First Class,Corporate,San Diego,Furniture,Chairs,entre 3 y 4,0.2,Critical,August,458.0388571428571
14,Second Class,Consumer,San Diego,Technology,Machines,entre 3 y 4,0.2,High,June,1279.0857142857144
15,Second Class,Consumer,New York City,Furniture,Chairs,entre 9 y 10,0.1,Critical,July,203.26736842105262
16,Second Class,Consumer,Houston,Furniture,Bookcases,entre 3 y 4,0.32,Critical,September,684.6473142857143
17,First Class,Home Office,New York City,Technology,Phones,entre 7 y 8,0.0,High,October,319.94666666666666
18,First Class,Corporate,Los Angeles,Technology,Phones,entre 7 y 8,0.2,Medium,December,343.4592
19,Standard Class,Home Office,New York City,Technology,Machines,entre 5 y 6,0.0,High,June,619.0
20,Same Day,Corporate,San Francisco,Furniture,Chairs,entre 5 y 6,0.2,Critical,July,245.21890909090908
21,First Class,Consumer,Columbus,Technology,Copiers,entre 3 y 4,0.4,Critical,July,411.4217142857143
22,Standard Class,Home Office,Los Angeles,Technology,Copiers,entre 5 y 6,0.2,High,May,610.9003636363636
23,Second Class,Consumer,Philadelphia,Office Supplies,Supplies,entre 7 y 8,0.2,Medium,September,621.8314666666666
24,Standard Class,Consumer,New York City,Office Supplies,Binders,entre 5 y 6,0.2,Medium,August,782.8276363636363
25,Same Day,Home Office,Seattle,Technology,Machines,entre 5 y 6,0.2,High,July,435.49090909090904
26,First Class,Consumer,New York City,Technology,Phones,entre 3 y 4,0.0,Critical,November,359.99142857142857
27,Second Class,Home Office,Seattle,Furniture,Tables,entre 9 y 10,0.0,High,December,201.4105263157895
28,Second Class,Corporate,Houston,Technology,Machines,entre 3 y 4,0.4,Medium,September,874.2805714285714
29,Same Day,Home Office,Seattle,Technology,Accessories,entre 3 y 4,0.0,High,July,482.2285714285714
30,First Class,Consumer,Los Angeles,Office Supplies,Appliances,entre 3 y 4,0.0,Critical,November,314.7085714285714
31,Second Class,Consumer,Los Angeles,Office Supplies,Binders,entre 1 y 2,0.2,Critical,November,677.8613333333334
32,First Class,Corporate,San Francisco,Technology,Copiers,entre 3 y 4,0.2,High,April,342.85028571428575
33,Second Class,Corporate,Philadelphia,Office Supplies,Storage,entre 5 y 6,0.2,High,August,327.56945454545456
34,Standard Class,Corporate,Springfield,Technology,Copiers,entre 7 y 8,0.0,Medium,December,653.3240000000001
35,Same Day,Consumer,New York City,Furniture,Tables,entre 7 y 8,0.4,Critical,July,145.4376
36,Standard Class,Home Office,Philadelphia,Furniture,Tables,entre 11 y 12,0.4,High,November,179.59304347826088
37,First Class,Corporate,San Francisco,Furniture,Bookcases,entre 7 y 8,0.15,High,August,207.04413333333332
38,Standard Class,Consumer,Columbus,Technology,Phones,entre 7 y 8,0.0,High,January,391.99066666666664
39,First Class,Consumer,Los Angeles,Office Supplies,Binders,entre 5 y 6,0.2,High,June,162.89454545454544
40,Standard Class,Consumer,Los Angeles,Furniture,Bookcases,entre 7 y 8,0.15,Medium,November,454.2218666666667
41,First Class,Home Office,Los Angeles,Technology,Copiers,entre 5 y 6,0.2,Critical,December,523.6276363636364
42,Standard Class,Corporate,Philadelphia,Office Supplies,Storage,entre 5 y 6,0.2,High,September,327.56945454545456
