,price,propertyType,size,exterior,rooms,bathrooms,province,municipality,distance,status,newDevelopment,floor,district,hasLift,parkingSpace
1,750.0,flat,60.0,True,1,1,Madrid,Madrid,7037,good,False,3,Hortaleza,True,desconocido
2,750.0,flat,70.0,True,2,1,Madrid,San Sebastián de los Reyes,16145,good,False,bj,Centro Urbano,False,desconocido
3,400.0,penthouse,67.0,True,2,2,Madrid,Villamanrique de Tajo,55041,good,False,2,desconocido,False,desconocido
4,450.0,flat,89.0,False,2,1,Afueras,Recas,47186,good,False,2,desconocido,True,True
5,450.0,flat,60.0,True,2,1,Afueras,Cedillo del Condado,38237,good,False,1,desconocido,False,desconocido
6,590.0,flat,70.0,True,3,2,Madrid,Rascafría,56596,good,False,desconocido,desconocido,False,desconocido
7,684.0,studio,45.0,True,0,1,Madrid,Madrid,10656,desconocido,desconocido,desconocido,desconocido,desconocido,desconocido
8,600.0,flat,73.0,True,2,1,Madrid,Manzanares el Real,37062,good,False,3,desconocido,False,desconocido
9,600.0,duplex,71.0,True,1,1,Madrid,Miraflores de la Sierra,44126,good,False,1,desconocido,False,desconocido
10,550.0,flat,90.0,True,3,1,Afueras,El Viso de San Juan,35627,good,False,2,desconocido,False,True
11,550.0,flat,53.0,True,1,1,Madrid,Madrid,4008,good,False,1,Puente de Vallecas,False,desconocido
12,700.0,studio,28.0,True,0,1,Madrid,Madrid,5569,good,False,1,Ciudad Lineal,False,desconocido
13,700.0,duplex,86.0,True,2,1,Madrid,Galapagar,31153,good,False,3,Casco Antiguo,True,desconocido
14,700.0,flat,45.0,False,1,1,Madrid,Madrid,2046,good,False,5,Moncloa,False,desconocido
15,550.0,flat,54.0,True,2,1,Madrid,Arganda,26233,good,False,en,Centro,False,desconocido
16,695.0,flat,64.0,True,2,1,Madrid,San Sebastián de los Reyes,15747,good,False,1,Centro Urbano,False,desconocido
17,650.0,flat,68.0,True,2,1,Madrid,San Lorenzo de el Escorial,42410,good,False,bj,Centro - Casco Histórico,False,desconocido
18,400.0,penthouse,70.0,True,2,1,Afueras,Camarena,50710,good,False,2,desconocido,True,desconocido
19,700.0,flat,30.0,False,1,1,Madrid,Madrid,3247,good,False,1,Retiro,True,desconocido
